Stand: coordinateX=1482 coordinateY=1060
Ball: coordinateX=339 coordinateY=630 speedX=7 speedY=-3
Brick: coordinateX=43 coordinateY=120
Brick: coordinateX=43 coordinateY=140
Brick: coordinateX=43 coordinateY=160
Brick: coordinateX=43 coordinateY=180
Brick: coordinateX=43 coordinateY=200
Brick: coordinateX=43 coordinateY=220
Brick: coordinateX=43 coordinateY=240
Brick: coordinateX=43 coordinateY=260
Brick: coordinateX=43 coordinateY=280
Brick: coordinateX=43 coordinateY=300
Brick: coordinateX=86 coordinateY=120
Brick: coordinateX=86 coordinateY=140
Brick: coordinateX=86 coordinateY=160
Brick: coordinateX=86 coordinateY=180
Brick: coordinateX=86 coordinateY=200
Brick: coordinateX=86 coordinateY=220
Brick: coordinateX=86 coordinateY=240
Brick: coordinateX=86 coordinateY=260
Brick: coordinateX=86 coordinateY=280
Brick: coordinateX=86 coordinateY=300
Brick: coordinateX=129 coordinateY=120
Brick: coordinateX=129 coordinateY=140
Brick: coordinateX=129 coordinateY=160
Brick: coordinateX=129 coordinateY=180
Brick: coordinateX=129 coordinateY=200
Brick: coordinateX=129 coordinateY=220
Brick: coordinateX=129 coordinateY=240
Brick: coordinateX=129 coordinateY=260
Brick: coordinateX=129 coordinateY=280
Brick: coordinateX=129 coordinateY=300
Brick: coordinateX=172 coordinateY=120
Brick: coordinateX=172 coordinateY=140
Brick: coordinateX=172 coordinateY=160
Brick: coordinateX=172 coordinateY=180
Brick: coordinateX=172 coordinateY=200
Brick: coordinateX=172 coordinateY=220
Brick: coordinateX=172 coordinateY=240
Brick: coordinateX=172 coordinateY=260
Brick: coordinateX=172 coordinateY=280
Brick: coordinateX=172 coordinateY=300
Brick: coordinateX=215 coordinateY=120
Brick: coordinateX=215 coordinateY=140
Brick: coordinateX=215 coordinateY=160
Brick: coordinateX=215 coordinateY=180
Brick: coordinateX=215 coordinateY=200
Brick: coordinateX=215 coordinateY=220
Brick: coordinateX=215 coordinateY=240
Brick: coordinateX=215 coordinateY=260
Brick: coordinateX=215 coordinateY=280
Brick: coordinateX=215 coordinateY=300
Brick: coordinateX=258 coordinateY=120
Brick: coordinateX=258 coordinateY=140
Brick: coordinateX=258 coordinateY=160
Brick: coordinateX=258 coordinateY=180
Brick: coordinateX=258 coordinateY=200
Brick: coordinateX=258 coordinateY=220
Brick: coordinateX=258 coordinateY=240
Brick: coordinateX=258 coordinateY=260
Brick: coordinateX=258 coordinateY=280
Brick: coordinateX=301 coordinateY=120
Brick: coordinateX=301 coordinateY=140
Brick: coordinateX=301 coordinateY=160
Brick: coordinateX=301 coordinateY=180
Brick: coordinateX=301 coordinateY=200
Brick: coordinateX=301 coordinateY=220
Brick: coordinateX=301 coordinateY=240
Brick: coordinateX=301 coordinateY=260
Brick: coordinateX=301 coordinateY=280
Brick: coordinateX=301 coordinateY=300
Brick: coordinateX=344 coordinateY=120
Brick: coordinateX=344 coordinateY=140
Brick: coordinateX=344 coordinateY=160
Brick: coordinateX=344 coordinateY=180
Brick: coordinateX=344 coordinateY=200
Brick: coordinateX=344 coordinateY=220
Brick: coordinateX=344 coordinateY=240
Brick: coordinateX=344 coordinateY=260
Brick: coordinateX=344 coordinateY=280
Brick: coordinateX=344 coordinateY=300
Brick: coordinateX=387 coordinateY=120
Brick: coordinateX=387 coordinateY=140
Brick: coordinateX=387 coordinateY=160
Brick: coordinateX=387 coordinateY=180
Brick: coordinateX=387 coordinateY=200
Brick: coordinateX=387 coordinateY=220
Brick: coordinateX=387 coordinateY=240
Brick: coordinateX=387 coordinateY=260
Brick: coordinateX=387 coordinateY=280
Brick: coordinateX=387 coordinateY=300
Brick: coordinateX=430 coordinateY=120
Brick: coordinateX=430 coordinateY=140
Brick: coordinateX=430 coordinateY=160
Brick: coordinateX=430 coordinateY=180
Brick: coordinateX=430 coordinateY=200
Brick: coordinateX=430 coordinateY=220
Brick: coordinateX=430 coordinateY=240
Brick: coordinateX=430 coordinateY=260
Brick: coordinateX=430 coordinateY=280
Brick: coordinateX=430 coordinateY=300
Brick: coordinateX=473 coordinateY=120
Brick: coordinateX=473 coordinateY=140
Brick: coordinateX=473 coordinateY=160
Brick: coordinateX=473 coordinateY=180
Brick: coordinateX=473 coordinateY=200
Brick: coordinateX=473 coordinateY=220
Brick: coordinateX=473 coordinateY=240
Brick: coordinateX=473 coordinateY=260
Brick: coordinateX=473 coordinateY=280
Brick: coordinateX=473 coordinateY=300
Brick: coordinateX=516 coordinateY=120
Brick: coordinateX=516 coordinateY=140
Brick: coordinateX=516 coordinateY=160
Brick: coordinateX=516 coordinateY=180
Brick: coordinateX=516 coordinateY=200
Brick: coordinateX=516 coordinateY=220
Brick: coordinateX=516 coordinateY=240
Brick: coordinateX=516 coordinateY=260
Brick: coordinateX=516 coordinateY=280
Brick: coordinateX=516 coordinateY=300
Brick: coordinateX=559 coordinateY=120
Brick: coordinateX=559 coordinateY=140
Brick: coordinateX=559 coordinateY=160
